commit_sha,commit_short,date,message
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference"
c034b60f881bf9ff3115c76ba6f6107cdb6cc8f4,c034b60,2026-03-25T11:04:53+03:00,"assets: move missing external images to local cdn-cache and rewire sources"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map"
ac2616c638f14f5c8d68cff5d58a96b458f11120,ac2616c,2026-03-25T10:22:08+03:00,"chore: archive local untracked snapshots into tarballs"
fc5c0d7705314b4f2fce7880abd5387656950898,fc5c0d7,2026-03-24T22:00:36+03:00,"chore: snapshot current phase3 working state"
c94320f3c2ade5a7bd9de0b12ce401e81f91f7f6,c94320f,2026-03-24T14:07:08+03:00,"chore: execute approved Phase 3 repo hygiene actions"
6d08bbb7c361bb66d1c8ddea7fe8caa8f412fa28,6d08bbb,2026-03-24T13:58:49+03:00,"reports: publish css step2d step2e step2f packs"
4df0fd0bed61fb71d87e611d3de4eafe1d796d46,4df0fd0,2026-03-24T12:15:20+03:00,"reports: emphasize baseline as canonical permanent reference"
11ce1e908602e2dcfa87d8fcc67aa57d21b40a01,11ce1e9,2026-03-24T12:12:04+03:00,"reports: add Step 2C pack with accepted baseline and ChatGPT handoff"
ffaedc4d9e6b1a44b8cf9ec846fc84d65d1fa9c1,ffaedc4,2026-03-24T12:02:42+03:00,"docs: add consolidated repo hygiene report package for ChatGPT transfer"
1329a772b241928210e94ae544ebd03a0385abdd,1329a77,2026-03-24T10:57:56+03:00,"chore: apply approved artifact policy gitignore rules"
30356d261e5238294ea164aae3277a42310e1796,30356d2,2026-03-24T10:46:14+03:00,"docs: add AidaCamp artifact policy and inventory baseline"
71ab8899dedaa303db99dcf60960fb46f1645f7d,71ab889,2026-03-21T21:48:35+03:00,"booking draft flow: persist on close, open request step, and show compact resume header"
ff89d6397b3f087e3d7dca7235b0d8f5c0a90085,ff89d63,2026-03-21T21:40:00+03:00,"shift calendar: keep inside active card and use icon close button"
33ef32efa0db2d94846f274d199539273a27286b,33ef32e,2026-03-21T21:36:22+03:00,"shift calendar: isolate clicks from price action and keep calendar inside active card"
f8738467a61e0a9145864a9f6531ef5001fff09a,f873846,2026-03-21T21:30:38+03:00,"shifts card: remove placeholder gap and fixed min-height"
6e5906a852edfb8867b9993585040c7a2e36b1e0,6e5906a,2026-03-21T21:22:32+03:00,"shift promo flow: slow search statuses + disabled processing button"
44e98afc77ca7e71fb121bd0383671d46b77ee68,44e98af,2026-03-21T13:11:45+03:00,"mobile video cards: photo-style corners and custom mobile posters"
fcae526ae2df7222d014e0fb89b14039ed4abc60,fcae526,2026-03-21T13:08:54+03:00,"funnel controls: tighten layout after removing back button"
9c54f86284958bea28f33c95a452d83f68fe0b66,9c54f86,2026-03-21T12:25:10+03:00,"hero funnel: remove redundant back button (block 36)"
4479d4327f7ae7fac51e907c07d723ccd20d7d9d,4479d43,2026-03-21T12:21:42+03:00,"compact hero-left: sync tab content with full section data"
0bc70d057f5e4a608efbc40193948f1d4393fff3,0bc70d0,2026-03-21T12:18:02+03:00,"leads: telegram/webhook notifications for promo fix and booking"
f54d88373a24e26b36afc9285a9c24f8672b6190,f54d883,2026-03-21T12:13:10+03:00,"mobile full media: one-card paging + photo/video lightbox"
f64fa4c5e1bc328b1181dcd5988828cc1780ab1c,f64fa4c,2026-03-21T11:49:10+03:00,"responsive contract: scoped compact hero-right scaling via CSS variables"
590174760bf3552d5f24601e412feb30358cbf0a,5901747,2026-03-21T11:43:30+03:00,"mobile compact hero-right: fluid scaling to prevent overlap on small screens"
a92904d204bef63deed1ad5942451f20302bc4f3,a92904d,2026-03-21T11:40:40+03:00,"mobile hero-right: prevent compact overlay overlaps and add responsive scaling"
8d295cca28aae02a92b4dc1b85ac5654d5246352,8d295cc,2026-03-21T11:31:39+03:00,"booking flow: phone-gate promo lock, persisted 72h hold, consent-gated submit"
4754c8b02843a4e4f488fefefb2e78f4a7de6e14,4754c8b,2026-03-21T11:07:17+03:00,"contacts/booking: switch telegram to proga_school and remove duplicate name phrasing"
a2cb512c15201cfb5e06fbb20ebe5786f4dd2366,a2cb512,2026-03-21T11:03:56+03:00,"booking/ui: add promo reset, isolate booking step, fix topnav+shift button layout"
aa95fc637c94392308d68761bf04f2864fba62a3,aa95fc6,2026-03-21T10:52:07+03:00,"topnav: wrap full menu on narrower desktop widths"
f29b99382b6bff9201c9fb7b7666721a69ef5a94,f29b993,2026-03-21T10:49:15+03:00,"icons: refresh topnav and hero icon set"
68f711d308f5720f0f8e468bc69765ce41478725,68f711d,2026-03-21T10:41:57+03:00,"content: set contact label to 'Связаться'"
64e74dbaff8061705fc00d6c9986474bcf8d464b,64e74db,2026-03-21T10:26:22+03:00,"booking: finalize lead step, phone mask, pinned promo resume"
78bb261d3d913856650b97b6e39b808ee802a27d,78bb261,2026-03-21T10:05:36+03:00,"cleanup: update build tag and remove legacy trap CTA labels"
8400c797973153bfeca87e44322e23b0f86fa6d4,8400c79,2026-03-21T09:59:35+03:00,"content+ui: fix age zero state, refresh yandex reviews/map, update contacts/socials"
b49ea36d59f990e78bcaf4168da7424220862ffe,b49ea36,2026-03-21T09:32:42+03:00,"media: make detailed videos vertical and reviews avatars compact"
d4a3a8f92053a5e22e30fb3f83340aa0ee72360a,d4a3a8f,2026-03-21T09:28:32+03:00,"shifts: keep calendar inside featured card bounds"
dce4b55edf5c91c01828484c2a14bb37fb0efc9b,dce4b55,2026-03-21T08:33:29+03:00,"compact: render tab content in hero card and hide lower sections"
85b102762a649174db1191b1e86533e043ce0db4,85b1027,2026-03-21T08:23:15+03:00,"hero contact: compact label, unified dropdown sizing and fixed item grid"
252ebabefabe78437cd8e2a5402723a16dbb9f6b,252ebab,2026-03-21T08:15:33+03:00,"funnel: add zero age state, reset control, stable hero benefits and intro copy"
cccbc97731545e58266f2d0412e4259f72dcf09e,cccbc97,2026-03-21T08:02:32+03:00,"docs: add Word backup status report (RU) for current branch"
4ab8d40e689121fdd28ab470d81deca2ecb25793,4ab8d40,2026-03-21T08:00:05+03:00,"chore: schedule hourly file backups, daily github backup and midnight backup report"
cd4b182f567babb1e0cd6a83e5003b5e5d0ced09,cd4b182,2026-03-21T07:52:38+03:00,"chore: add Russian backup journal for github autobackup"
98b862ceba11f56b2ecbe969ec3635afd0f9f247,98b862c,2026-03-21T07:50:13+03:00,"chore: add local and github autobackup scripts"
d4e780dfc791883b97893438aaac6faa09931f21,d4e780d,2026-03-21T07:29:14+03:00,"state: persist age and restore promo shift context from localStorage"
5b5cc2aac13c59e27f83f6180e38508d552b3e70,5b5cc2a,2026-03-21T07:06:39+03:00,"shifts overlay: stop per-second remount, update promo ttl in place"
e9a3046163e9c2289b91321f1af84237c3175e85,e9a3046,2026-03-21T06:59:35+03:00,"funnel: open shifts overlay directly from step 2"
12b2e47ceb4342b33cd91a4d4c1a3d743c3ba85e,12b2e47,2026-03-21T06:56:58+03:00,"contact: enforce hidden state for dropdown menu"
2c34f4fbea14fb22de14511aa35c3cf06cebe5ca,2c34f4f,2026-03-21T06:23:29+03:00,"icons: replace remaining text arrow with svg in shift more button"
cc0a83d1084efe3b65ddc4f1b86c8ba5e1b62f0d,cc0a83d,2026-03-21T06:10:05+03:00,"hero icons: improve contrast on dark funnel area"
d4cae57d1394e43524d42e6d905ec804572bad1f,d4cae57,2026-03-20T22:41:17+03:00,"shift card: stabilize internal layout across price stages"
9838c6de9c68f92714eb02a1481fd829ad84e087,9838c6d,2026-03-20T22:38:38+03:00,"compact mode: show only active lower section while keeping shared top nav"
45f6740905a97e79d7bdec751ffb5712f35be7ff,45f6740,2026-03-20T22:31:09+03:00,"hero contact: inline dropdown with animated chevron and auto-close"
8d11ece8146fdd16fc21e422bb2cd193cd17dfda,8d11ece,2026-03-20T21:48:46+03:00,"package3: promo ttl ticker and restore featured shift from storage"
d8e9025fa55794216904701876685909f840cb76,d8e9025,2026-03-20T21:26:36+03:00,"restore(shifts): add inline shift calendar toggle inside featured card"
17e81b6803cb1f2e44494906083f49abb0f25863,17e81b6,2026-03-20T21:21:32+03:00,"restore(shifts): stabilize featured card flow and compact shift overlay layout"
19ea7c3b77c789099345a2dbda83befc4142444f,19ea7c3,2026-03-20T20:38:05+03:00,"fix(shifts): restore card styling and promo-state button visuals"
977eb19f3f26cb7c8b8c21a9da9456813e806b4c,977eb19,2026-03-20T20:10:01+03:00,"fix(shifts): open overlay with all directions by default"
28e531d0bc6d89f44ad79a61cc2915dce8813f76,28e531d,2026-03-20T19:27:41+03:00,"menu: keep same top nav in compact and full modes"
23a856d5e0387ae4b84d88566b046cfb20584ffd,23a856d,2026-03-20T19:24:57+03:00,"Revert "hero right: age-locked slideshow and post-age step renumber""
06413b409a1b1924850dc8f9ab966873641da561,06413b4,2026-03-20T19:23:42+03:00,"hero right: age-locked slideshow and post-age step renumber"
d26ffc1aacf83d692a54678b9bfe21db82cbf0fb,d26ffc1,2026-03-20T12:43:04+03:00,"fix(css): responsive overflow and layout hardening for sprint1"
cd610edd6530d0dfe7ce6b17da95885b2d06ab96,cd610ed,2026-03-20T12:27:23+03:00,"feat(faq): data-driven legacy faq overlay renderer"
f40d872737f44c83b310ec838340bd7e75b91470,f40d872,2026-03-20T12:21:03+03:00,"feat(hero): age gate flow, rutube videos, photo lightbox, hero/content polish"
a7c8272073a7e711970adae779a8cc88609d724b,a7c8272,2026-03-20T12:08:17+03:00,"chore(sprint1): split data/features and isolate audit styles"
819ef95f69d3d7cc67ba55e0e01f20225e9de672,819ef95,2026-03-20T11:42:05+03:00,"hero: reduce excess height and switch step indicator to 2-state with CTA arrow"
e797d333bf479f8836226f8d713bd5fd33158b19,e797d33,2026-03-20T11:33:16+03:00,"funnel: sync benefits by shift, expand safety cards text, tune final CTA style"